name,def,code
fer,(inv) héraldique. (rare) Gris.,#848484
fumée,[bleu ~ gris ~] (inv) Bleu pâle grisâtre à gris bleuâtre.,#BBD2E1
grège,(inv) Entre gris et beige.,#BBAE98
gris,Couleur du ciel couvert du fer ou du mercure. Toute couleur résultant du mélange de blanc et de noir.,#BFBFBF
Payne,[gris de ~] (inv) aquarelle. Gris moyen tirant sur le bleu mélange de noir de Mars et de blanc de zinc.,#677179
perle,[gris ~] (inv) Gris doux neutre à très légèrement verdâtre avec un certain éclat blanc.,#CECECE
pinchard,chevaux. (vieilli) Robe gris fer.,#CCCCCC
plomb,[~ gris ~] (inv) Gris moyen bleuté.,#798081
souris,[~ gris ~] (inv) Gris moyen doux.,#9E9E9E
taupe,[~ gris ~] (inv) Gris foncé tirant très légèrement sur le brun.,#463F32
tourterelle,[~ gris ~] (inv) Gris légèrement rosé.,#BBACAC
ambre,(inv) Jaune profond doré ou rougeâtre. Implique souvent une idée de transparence.,#AD390E
auréolin,[jaune ~] (inv) Jaune d'or doux transparent.,#EFD242
aurore,(inv) Orangé clair ou jaune doré.,#F8CD59
banane,[~ jaune ~] (inv) Jaune brûni profond.,#D1B606
beurre,(inv) Entre jaune pâle et blanc crème soutenu.,#F0E36B
beurre,[~ frais] (inv) Beurre clair.,#FFF48D
blé,(inv) Jaune chaud légèrement brillant.,#E8D630
blond,cheveux. Entre châtain clair et doré.,#E2BC74
bouton d'or,[~ jaune ~] (inv) Jaune lumineux et chaud de la couleur de la fleur de même nom.,#F6DC12
bulle,[papier ~] (inv) Beige clair moyennement saturé.,#EDD38C
caca d'oie,(inv) Jaune sale verdâtre.,#CDCD0D
canari,[jaune ~] (inv) Jaune vif très légèrement verdâtre.,#E7F00D
chamois,(inv) Jaune clair légèrement ocré. Couleur de la peau de chamois.,#D0C07A
champagne,(inv) Jaune paille délavé.,#FBF2B7
chrome,[jaune de ~] (inv) pigment. Jaune verdâtre à orangé.,#FFFF05
citron,[~ jaune ~] (inv) Jaune clair,#F7FF3C
fauve,Ocre orangé à roux ou tirant sur le roux.,#AD4F09
flave,Blond doré clair.,#E6E697
impérial,[jaune ~] (inv) Jaune doux et chaud très légèrement orangé.,#FFE436
jaune,Couleur du citron du soufre du bouton d'or. Couvre de nombreuses teintes depuis l'ocre et le jaune safran jusqu'au jaune moutarde ou canari.,#FFFF21
maïs,[~ jaune ~] (inv) Jaune-orangé laiteux.,#FFDE75
Mars,[jaune de ~] (inv) Ocre-jaune.,#EED153
mastic,(inv) Beige clair à jaune grisâtre. Couleur du mastic de vitrier.,#B3B191
miel,(inv) Jaune d'or un peu plus chaud reflets sombres. Implique une certaine transparence. Plus jaune que l'ambre.,#DAB30A
mimosa,[jaune ~] (inv) Jaune clair chaud mais doux.,#FEF86C
moutarde,[~ jaune ~] (inv) Jaune soutenu très légèrement verdâtre.,#C7CF00
nankin,[~ jaune ~] Entre jaune chamois clair et abricot. De la couleur de la toile de Nankin.,#F7E269
Naples,[jaune de ~] (inv) pigment. Jaune-beige très clair.,#FFF0BC
ocre,(inv) Brun-jaune à brun-rouge clair et légèrement pâle.,#DD985C
or,(inv) Jaune sombre couleur du métal de même nom. Sous-entend une certaine brillance. Peut désigner un ton froid ou chaud selon le contexte.,#DBCB12
or,[jaune d'~] (inv) Jaune vif et chaud.,#EFD807
orpiment,(inv) D'un beau jaune doré pouvant tirer sur l'orangé profond.,#FCD21C
paille,[~ jaune ~] (inv) Jaune pâle légèrement orangé.,#FEE347
poil de chameau,"(inv) Tabac-jaune couleur de la matière de même nom. L'équivalent anglais ""camel"" est (trop) souvent utilisé.",#B67823
poussin,[jaune ~] (inv) Jaune chaud clair et doux qui rappelle le côté duveteux du poussin.,#F7E35F
queue de vache,(inv) cheveux. (familier) Blond jaunâtre ou roux passé pisseux sâle.,#A89874
sable,(inv) Beige clair.,#E0CDA9
safran,(inv) Jaune soutenu tirant sur l'orangé.,#F3D617
soufre,[~ jaune ~] (inv) Jaune clair. Couleur du soufre.,#FFFF6B
topaze,[~ jaune ~] (inv) Jaune pâle et transparent.,#FAEA73
vanille,(inv) Beige clair.,#E1CE9A
vénitien,[blond ~] (inv) cheveux. Blond tirant sur le roux.,#E7A854
abricot,(inv) Orange rosé doux.,#E67E30
carotte,(inv) Rouge tirant sur le roux  orange.,#F4661B
citrouille,(inv) Orange moyen. Couleur carotte en moins saturé  et tirant légèrement plus sur le jaune.,#DF6D14
cuivre,(inv) Orange-brun  les reflets pouvant aller jusqu'à un jaune chaud.,#B36700
mandarine,(inv) Orange clair et doux  couleur de la chair d'une mandarine.,#FEA347
melon,(inv) Orange jaunâtre  couleur de la chair du melon.,#DE9816
orange,Couleur du fruit de même nom  du pelage du renard  de la carotte. Par extension  toute couleur moyennement vive  du roux juqu'au melon.,#ED7F10
orangé,(inv) héraldique. Orange.,#FAA401
roux,Orangé tirant sur le marron ou le rouge. Plus rouge que rouille.,#AD4F09
tanné,héraldique. (rare) Orange très foncé.,#A75502
ventre de biche,(inv) Blanc roussâtre.,#E9C9B1
balais,(inv) minéraux. Rose pâle ou rouge violacé. Exclusivement utilisé pour désigner la teinte particulière de la variété de rubis de même nom.,#C4698F
bonbon,[rose ~] (inv) Rose vif tirant sur le magenta.,#F9429E
chair,(inv) Incarnadin doré.,#FEC3AC
cuisse de nymphe,(inv) Rose dragée clair  incarnadin clair.,#FEE7F0
dragée,[rose ~] (inv) Entre rose clair et incarnadin. Couleur des dragées roses.,#FEBFD2
fuchsia,[~  rose ~] (inv) Entre rose bonbon et pourpre.,#FD3F92
incarnadin,Plus clair  un peu moins soutenu que l'incarnat,#FE96A0
mauve,Magenta passé.,#D473D4
pêche,(inv) Rose pâle légèrement doré.,#FDBFB7
rose,Rouge ou pourpre pâle. Couleur de la rose commune. Recouvre des couleurs très variées  depuis le magenta vif jusqu'au rouge pâle.,#FD6C9E
saumon,(inv) Rose-orangé. Couleur de la chair fumée du poisson de même nom.,#F88E55
thé,[rose ~] (inv) Jaune rosé.,#FF866A
alizarine,[rouge d'~] (inv) pigment. Rouge soutenu.,#D90115
amarante,(inv) Rouge bordeaux velouté.,#91283B
Andrinople,[rouge d'~  rouge ~] (inv) Rouge profond.,#A91101
anglais,[rouge ~] (inv) Rouge légèrement rosé. Employé en peinture à l'huile.,#BD4A4F
Bismarck,[rouge ~] (inv) Rouge-brun.,#A5260A
bordeaux,[~  rouge ~] (inv) Rouge foncé tirant sur le violet.,#6D071A
bourgogne,[~  rouge ~] (inv) Rouge foncé tirant sur le brun.,#6B0D0D
brique,(inv) Rouge moyen fade  jaunâtre.,#842E1B
capucine,[~  rouge ~] (inv) Rouge lumineux très légèrement orangé  une des couleurs des fleurs de capucine.,#FF5E4D
cardinal,[rouge ~] (inv) Rouge soutenu de la robe des cardinaux.,#B82010
carmin,[~  rouge ~] (inv) Rouge profond très légèrement violacé.,#960018
cerise,[~  rouge ~] (inv) Rouge vif à profond.,#BB0B0B
coquelicot,[~  rouge ~] (inv) Rouge soutenu à profond. Couleur de la fleur de même nom.,#C60800
corail,(inv) Rouge vif tirant sur l'orangé. Plus orangé que le rouge vermillon.,#E73E01
écarlate,Rouge vif.,#ED0000
écrevisse,[rouge ~] (inv) Rouge vif  légèrement orangé  de la couleur d'une écrevisse cuite.,#BC2001
feu,[rouge ~] (inv) Rouge vif à rouge orangé vif. Rappelle plus la couleur des braises que celle des flammes.,#FF4901
fraise,[~  rouge ~] (inv) Rouge moyen doux. Couleur du fruit de même nom.,#BF3030
fraise écrasée,(inv) Fraise profond.,#A42424
framboise,[~  rouge ~] (inv) Entre rouge moyen et pourpre doux. Couleur du fruit de même nom. Version rosée de la couleur rouge fraise.,#C72C48
garance,(inv) Rouge vif. Couleur des pantalons militaires français au début de la première guerre mondiale.,#EE1010
grenadine,[~  rouge ~] (inv) Rouge clair très légèrement rosé de la boisson de même nom. Implique souvent une idée de transparence.,#E9383F
grenat,[~  rouge ~] (inv) Rouge sombre très légèrement rosé.,#6E0B14
groseille,[~  rouge ~] (inv) Rouge vif  pouvant se teinter très légèrement de rose.,#CF0A1D
incarnat,Rouge-rose clair et vif  proche de la couleur de la chair.,#FF6F7D
nacarat,(inv) Rouge clair  entre cerise et rose  à reflets nacrés.,#FC5D5D
pourpre,Rouge violacé profond.,#9E0E40
pourpre,héraldique. Pourpre à gris-violacé.,#965578
rouge,Couleur du coquelicot  du sang. Couvre des couleurs variées  depuis le rouge bordeaux jusqu'au rouge corail.,#E21313
sang,[rouge ~] (inv) Rouge sombre brillant. Couleur du sang.,#850606
sang de boeuf,(inv) Rouge sang tirant sur le marron.,#730800
senois,(inv) héraldique. (rare) Entre rouge et brun.,#8D4024
tomate,[~  rouge ~] (inv) Rouge vif légèrement orangé. Couleur de la tomate mûre.,#DE2916
tomette,[rouge ~] (inv) Rouge brique clair à vif.,#AE4A34
vermeil,Rouge vif  plus foncé que l'incarnat.,#FF0921
vermillon,[~  rouge ~] (inv) Rouge vif pouvant tirer franchement sur l'orangé. Couleur du cinabre.,#DB1702
absinthe,[~  vert ~] (inv) Vert clair tirant sur le jaune. Couleur de la liqueur de même nom. Moins jaune et plus soutenu que le vert anis.,#7FDD4C
amande,[~  vert ~] (inv) Vert doux  tirant légèrement sur le jaune.,#82C46C
anglais,[vert ~] (inv) Vert sombre doux.,#18391E
anis,[vert ~] (inv) Vert clair passé teinté de jaune.,#9FE855
avocat,[~  vert ~] (inv) Vert sombre soutenu tirant sur le jaune.,#568203
bouteille,[vert ~] (inv) Vert foncé  chaud.,#096A09
céladon,[vert ~] (inv) Vert tendre à vert-gris rabattu.,#83A697
chartreuse,[vert ~] (inv) Vert acide et clair. Couleur de la boisson du même nom.,#C2F732
eau,[vert d'~] (inv) Vert pâle et doux.,#B0F2B6
émeraude,[~  vert ~] (inv) Vert intense  très légèrement bleuté de la pierre du même nom.,#01D758
empire,[vert ~] (inv) Vert sombre et soutenu  légèrement bleuté.,#00561B
épinard,[vert ~] (inv) Vert profond  de la couleur des feuilles de l'épinard.,#175732
glauque,Vert moyen tirant sur le bleu.,#649B88
herbe,[vert ~] (inv) Vert jaunâtre soutenu  couleur de l'herbe.,#3A9D23
Hooker,[vert de ~] (inv) Vert herbe jaunâtre et sombre.,#1B4F08
jade,[~  vert ~] (inv) Vert doux et laiteux.,#87E990
kaki,[vert ~] (inv) Vert olive tirant sur le brun.,#798933
lichen,[vert ~] (inv) Vert pâle et grisâtre  vert mousse clair.,#85C17E
lime,[vert ~] (inv) Vert-jaune vif et clair.,#9EFD38
malachite,[~  vert ~] (inv) Vert soutenu mais légèrement laiteux  couleur de la pierre du même nom.,#1FA055
mélèze,[vert ~] (inv) Vert doux moyen  très légèrement bleuté.,#386F48
menthe,[~  vert ~] (inv) Vert tendre moyen. Indique une certaine transparence.,#16B84E
menthe à l'eau,[~  vert ~] (inv) Vert clair et doux. Menthe délavé.,#54F98D
militaire,[vert ~] (inv) Entre vert kaki et vert sombre.,#596643
mousse,[vert ~] (inv) Vert doux.,#679F5A
olive,[~  vert ~] (inv) Verdâtre tirant sur le brun.,#708D23
opaline,[vert ~] (inv) Vert moyen  pâle et laiteux  tirant légèrement sur le bleu.,#97DFC6
perroquet,[vert ~] (inv) Vert vif et clair.,#3AF24B
pistache,[~  vert ~] (inv) Vert-jaune pâle.,#BEF574
poireau,[vert ~] (inv) Vert doux des feuilles de poireau.,#4CA66B
pomme,[vert ~] (inv) Vert vif de la pomme Grany.,#34C924
prairie,[vert ~] (inv) Vert herbe clair et saturé.,#57D53B
printemps,[vert ~] (inv) Vert lumineux et tendre  vert émeraude clair.,#00FE7E
sapin,[vert ~] (inv) Vert profond et sombre.,#95228
sauge,[vert ~] (inv) Vert-gris doux. Couleur des feuilles de la sauge commune.,#689D71
sinople,héraldique. Vert  généralement moyen à sombre.,#149414
tilleul,[vert ~] (inv) Jaune-vert clair à pâle.,#A5D152
Véronèse,[vert ~] (inv) pigment. Vert amande jaunâtre profond  caractéristique de l'oeuvre de Véronèse. Couleur de l'arsénate de cuivre.,#586F2D
vert,Couleur de l'herbe  des feuilles des arbres au printemps ou en été  de l'émeraude. Couvre toute une variété de couleurs  depuis le vert anis jusqu'au glauque.,#4FD94F
vert de gris,(inv) Mélange de gris et de vert neutre ou légèrement bleuté. Couleur du cuivre oxydé.,#95A595
vessie,[vert de ~] (inv) Vert herbe foncé.,#22780F
